team,pts-A,pts-H,pts-total,wins,loss
ARI,160,240,400,8,9
ATL,174,215,389,8,9
BLT,266,252,518,12,5
BUF,251,274,525,13,4
CAR,151,190,341,5,12
CHI,122,188,310,5,12
CIN,241,231,472,9,8
CLV,139,119,258,3,14
DAL,189,161,350,7,10
DEN,193,232,425,10,7
DET,246,318,564,15,2
GB,219,241,460,11,6
HST,211,161,372,10,7
IND,196,181,377,8,9
JAX,139,181,320,4,13
KC,195,190,385,15,2
LV,167,142,309,4,13
LAC,209,193,402,11,6
LAR,154,213,367,10,7
MIA,147,198,345,8,9
MIN,180,252,432,14,3
NE,137,152,289,4,13
NO,144,194,338,5,12
NYG,143,130,273,3,14
NYJ,175,163,338,5,12
PHI,224,239,463,14,3
PIT,208,172,380,10,7
SF,161,228,389,6,11
SEA,198,177,375,10,7
TB,245,257,502,10,7
TEN,183,128,311,3,14
WAS,211,274,485,12,5
